Category,Image_AUROC,Image_AUPRC,Image_F1_Max
bottle,0.9412698412698413,0.9822792006663015,0.9180327818906208
cable,0.6275299850074961,0.7104738640605766,0.7603305737996039
capsule,0.6960510570402871,0.9306344547917353,0.904564310398237
carpet,0.9825441412520064,0.9948202820698898,0.9720670341063012
grid,0.7088554720133666,0.8865134351769868,0.844444439565432
hazelnut,0.8382142857142857,0.9149575821838563,0.8368794276243651
leather,0.9989809782608696,0.9996455297350173,0.9945945895947408
metal_nut,0.8186705767350929,0.9499543851862897,0.8985507196891409
pill,0.7422258592471358,0.9399931381329815,0.9155844106200457
screw,0.561795449887272,0.797431347332026,0.8581818132723307
tile,0.9393939393939396,0.9742912952076268,0.9302325531422391
toothbrush,0.6555555555555556,0.862802714997837,0.8333333284722222
transistor,0.7266666666666667,0.6503610193801588,0.6913580196921202
wood,0.9951664876476906,0.9976267750072692,0.9795918317346939
zipper,0.7488182773109243,0.9281912146366128,0.8847583593786709
MEAN_AVERAGE,0.7987825715334954,0.9013317492376776,0.8815002795320511
