Category,Image_AUROC,Image_AUPRC,Image_F1_Max
bottle,0.8936507936507938,0.9689574273202757,0.8976377902759006
cable,0.6840329835082458,0.8060257437000792,0.7634854724581189
capsule,0.7363382528919027,0.9409713640207323,0.904564310398237
carpet,0.9943820224719102,0.9981789306111226,0.9834254093660144
grid,0.8646616541353382,0.9509191795304155,0.8943089381162007
hazelnut,0.8182142857142857,0.9130313082654131,0.8148148098216735
leather,0.9901494565217391,0.9967417200072513,0.9729729679731192
metal_nut,0.8162267839687195,0.9544414583204837,0.8989898940082645
pill,0.5840152755046372,0.8922960261068981,0.9155844106200457
screw,0.6515679442508711,0.8122209093697365,0.8593155843987914
tile,0.9440836940836941,0.9789038476048956,0.9186046461654949
toothbrush,0.611111111111111,0.8457939559412184,0.8333333284722222
transistor,0.7100000000000001,0.6543938606563917,0.6279069717685236
wood,0.9817400644468314,0.993917764149995,0.9791666616688368
zipper,0.8663340336134454,0.9613562894807645,0.9163346563679942
MEAN_AVERAGE,0.8097672237249018,0.9112099856723782,0.8786963901252957
