Category,Image_AUROC,Image_AUPRC,Image_F1_Max
bottle,0.8817460317460317,0.9640956551242137,0.8939393889497246
cable,0.5178035982008995,0.6582829936847924,0.7634854724581189
capsule,0.6338252891902673,0.886502505477597,0.9083333283753474
carpet,0.9237560192616372,0.9772367913236489,0.9132947926920378
grid,0.8354218880534671,0.9382260077484978,0.86399999503872
hazelnut,0.7898214285714287,0.8802393110481137,0.8157894687153739
leather,0.98828125,0.9956655982928841,0.9784946186564921
metal_nut,0.6571358748778103,0.8908880175215392,0.9029126164063531
pill,0.5825150027277687,0.8903142002106553,0.9155844106200457
screw,0.5328960852633737,0.7606016052419815,0.8602941127251839
tile,0.8941197691197691,0.962722783474082,0.9005847903231764
toothbrush,0.7319444444444445,0.8749772905801311,0.8450704176552272
transistor,0.7252083333333333,0.7178434705888513,0.6428571378684809
wood,0.966702470461869,0.986936566184307,0.9374999950021703
zipper,0.8480829831932772,0.9478519218991163,0.9055118060434623
MEAN_AVERAGE,0.7672840312296917,0.8888256478933608,0.8698434901019942
