Category,Image_AUROC,Image_AUPRC,Image_F1_Max
bottle,0.8555555555555556,0.9591969564979919,0.8749999950781251
cable,0.4850074962518741,0.6408939853773075,0.7603305737996039
capsule,0.560829676904667,0.8609874147742868,0.9113924000954264
carpet,0.9642857142857143,0.9892261112033249,0.9608938497487596
grid,0.8529657477025898,0.9492035051276457,0.8702290027177905
hazelnut,0.8567857142857143,0.9307449330859596,0.859259254266118
leather,0.9690896739130435,0.9908708408191809,0.9625668399210731
metal_nut,0.6300097751710655,0.8845774549713579,0.8985507196891409
pill,0.5417348608837971,0.8523454866236906,0.9155844106200457
screw,0.6179544988727198,0.7755755994124667,0.8540145936264585
tile,0.9231601731601731,0.975317794004591,0.9192546533945449
toothbrush,0.6472222222222223,0.8208371304643827,0.8450704176552272
transistor,0.60375,0.6101751117370493,0.5714285673469389
wood,0.979591836734694,0.99163700944832,0.9696969646974799
zipper,0.8119747899159664,0.9441615725100607,0.9007633538205817
MEAN_AVERAGE,0.7533278490573196,0.8783833937371743,0.8716023730984876
